ID,CLASS,TITLE,SUBJECTS
000079299001,GN 492.5/.T75,Tribes and states in a changing Middle East,"Group Identity--Middle East
Tribes--Middle East
Middle East--Politics and Government--21st Century
Grup Kimli?i--Orta Do?u
Kabileler--Orta Do?u
Orta Do?u--Siyaset ve Yönetim--21. Yüzy?l
"
000079300001,HM 1136 .N35/F54,The figure of the migrant,"Marginality, Social--Political Aspects
Political Science--Philosophy
Marjinallik, Sosyal--Siyasi Yönler
Siyasi Bilimler--Felsefe"
000079301001,HB 99.7/.K49 ,The esential keynes,"Keynesian Economics
Economics
Keynesçi Ekonomi
Ekonomi"
000079302001,PR 6051 .L44/B66,The book of Saladin,"Saladin, Sultan of Egypt and Syria, 1137-1193--Fiction
Jerusalem--History--Latin Kingdom, 1099-1244--Fiction
Islamic Empire--History--750-1258--Fiction
Islam--Relations--Christianity--Fiction
Egypt--Kings and Rulers--Fiction
Syria--Kings and Rulers--Fiction
Saladin (Selahattin), M?s?r ve Suriye Sultan?, 1137-1193--Roman
Kudüs--Tarih--Latin Krall???, 1099-1244--Roman
?slam ?mparatorlu?u-- Tarih--750-1258--Roman
?slam--?li?kiler--H?ristiyanl?k--Roman
M?s?r--Krallar ve Hükümdarlar--Roman
Suriye--Krallar ve Hükümdarlar--Roman
"
000079303001,PN 56 .M54/L37 ,Modernism : evolution of an idea,"Modernism (Literature)
Modernizm (Edebiyat)"
000079304001,HD 53 .C394/C74,"Creativity, inc. : overcoming the unseen forces that stand in the way of true inspiration","Creative Ability in Business
Corporate Culture
Organizational Effectiveness
Pixar (Firm)
Yarat?c?l?k Yetene?i, ??te
?irket Kültürü
Örgütsel Yararl?l?k"
000079305001,PN 51 .A45/S53,In the shadow of world literature : sites of reading in colonial Egypt,"Literature and Society--Egypt--History--19th Century
Literature and Society
Egypt
Edebiyat ve Toplum--M?s?r--Tarih--19. Yüzy?l
Edebiyat ve Toplum
M?s?r"
000079306001,B 3279 .H48/G7813,The basic problems of phenomenology = Die Grundprobleme der Pha?nomenologie,"Phenomenology
Fenomonoloji"
000079309001,HB 501 .K6313/C37,Capitalism : a short history,"Capitalism--History
Economic History
Kapitalizm--Tarih
Ekonomi Tarihi"
000079312001,HC 37 .B7413/M35,"The making of the ancient Greek economy : institutions, markets, and growth in the city-states","Greece--Economic Conditions--to 146 B.C.
Urban Economics
Yunanistan--Ekonomik Ko?ullar--M.Ö. 146
?ehir Ekonomisi"
000079976001,PG 3476 .B933/O48,Ölümcül yumurtalar,"Russian Literature--Fiction
Rus Edebiyat?--Roman"
000082878001,RC 351/.S23,Mars'ta bir antropolog = An anthropologist on Mars,"Neurology--Anecdotes
Nöroloji--Anekdotlar"
000083496001,PL 248 .H45/M46,"Naz?m Hikmet : ya?am?, ruhsal yap?s?, davalar?, tart??malar?, dünya görü?ü, ?iirinin geli?meleri","Naz?m Hikmet, 1902-1963
Naz?m Hikmet, 1902-1963--Criticism and Interpretation
Naz?m Hikmet, 1902-1963--Political and Social Views
Turkey--History--Revolution, 1918-1923--Poetry
Naz?m Hikmet, 1902-1963--Ele?tiri ve Yorumlama
Naz?m Hikmet, 1902-1963--Siyasi ve Sosyal Görü?ler
Türkiye--Tarih--Devrim, 1918-1923--?iir"
000084681001,HD 31/.D56,"Örgüt geli?tirme : teori, uygulama ve teknikler","Organizational Behavior
Örgütsel Davran??"
000084683001,HD 37 .T8/D56,??letme yönetimine giri?,"Industrial Management
Organization
Management
Endüstriyel Yönetim
Örgüt
Yönetim"
000084684001,HD 37 .T8/D56,??letme yönetimine giri?,"Industrial Management
Organization
Management
Endüstriyel Yönetim
Örgüt
Yönetim"
000084685001,HD 37 .T8/D56,??letme yönetimine giri?,"Industrial Management
Organization
Management
Endüstriyel Yönetim
Örgüt
Yönetim"
000087755001,ML 3830/.S1319,Müzikofili : müzik ve beyin öyküleri,"Music--Psychological Aspects
Müzik--Psikolojik Yönler"
000088000001,PS 3511 .F186/K8,"Kurtar halk?m? Musa : roman = Go down, Moses","American Literature--Fiction
Amerikan Edebiyat?--Roman"
000089552001,PG 3479.4 .I8/P820,Pu?kin evi,"Russian Literature--Fiction
Rus Edebiyat?--Roman"
000089553001,PR 6059 .S5/U5319,Avunamayanlar = The unconsoled,"Musicians--Europe, Central--Fiction
Musicians--Fiction
Pianists--Fiction
Europe--Fiction
Müzisyenler--Avrupa, Orta--Roman
Müzisyenler--Roman
Piyanistler--Roman
Avrupa--Roman"
000089555001,ND 773/.M86,"Edvard Munch, (1863-1944)","Munch, Edvard, 1863-1944
Art
Sanat"
000089556001,ND 553/.B65,"Bonnard, (1867-1947)","Bonnard, Pierre, 1867-1947
Painters, French
Ressamlar, Frans?z"
000089557001,N 6853 .P5/P519,"Picasso, 1881-1973","Picasso, Pablo, 1881-1973
Art
Sanat"
